Provider Id,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description
30010,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,AZ - Tucson
30011,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson
30012,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,AZ - Phoenix
30013,2400 SOUTH AVENUE A,YUMA,AZ,85364,AZ - Phoenix
30014,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,AZ - Phoenix
30016,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,AZ - Phoenix
30022,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,AZ - Phoenix
30023,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix
30024,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,AZ - Phoenix
30030,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,AZ - Phoenix
30033,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,AZ - Phoenix
30036,475 SOUTH DOBSON ROAD,CHANDLER,AZ,85224,AZ - Mesa
30037,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,AZ - Phoenix
30038,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,AZ - Phoenix
30043,300 EL CAMINO REAL,SIERRA VISTA,AZ,85635,AZ - Tucson
30055,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,AZ - Phoenix
30061,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City
30062,2200 SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,AZ - Phoenix
30064,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AZ - Tucson
30065,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,AZ - Mesa
30067,1200 WEST MOHAVE ROAD,PARKER,AZ,85344,AZ - Phoenix
30068,1600  SOUTH 20TH AVENUE,SAFFORD,AZ,85546,AZ - Tucson
30069,101 CIVIC CENTER LANE,LAKE HAVASU CIT,AZ,86403,AZ - Phoenix
30071,PO BOX 649,FORT DEFIANCE,AZ,86504,NM - Albuquerque
30073,PO BOX 600,TUBA CITY,AZ,86045,AZ - Phoenix
